Property,Category,Total Spend,Monthly Average,Cost Per Door
Bella Mirage,base,67324.17,7534.3666720588235,10.537575765117236
Bella Mirage,extra_pickup,33813.83,3784.165386764706,5.2925390024681205
Bella Mirage,overage,20171.6,2257.4393529411764,3.1572578362813655
McCord Park FL,base,99156.68,11056.151425641026,26.57728708086785
McCord Park FL,extra_pickup,11279.6,1257.6960586080588,3.0233078331924492
McCord Park FL,tax,99156.68,11056.151425641026,26.57728708086785
Orion McKinney,admin,54439.090000000004,6819.448146502059,15.05396941832684
Orion McKinney,base,57064.64,7148.344204115227,15.780009280607564
Orion McKinney,franchise_fee,54666.450000000004,6847.928962962964,15.116840977843188
Orion McKinney,overage,227.36,28.480816460905352,0.06287155951634736
Orion McKinney,tax,57292.0,7176.825020576132,15.842880840123913
Orion Prosper,base,34478.73,4950.625194339624,15.86738844339623
Orion Prosper,other,3959.88,568.5789962264151,1.8223685776487666
Orion Prosper,overage,33173.92,4763.274173584906,15.266904402515724
Orion Prosper,tax,34478.73,4950.625194339624,15.86738844339623
Orion Prosper Lakes,base,31168.6,5241.835270718232,17.018945684150104
Orion Prosper Lakes,extra_pickup,12630.86,2124.2175602209945,6.896810260457775
Orion Prosper Lakes,other,8044.36,1352.8746872928177,4.392450283418239
Orion Prosper Lakes,tax,31168.6,5241.835270718232,17.018945684150104
The Club at Millenia,Container Rental,10234.8,2036.2569411764705,3.6361731092436975
The Club at Millenia,Bulk/Extra Pickups,6414.24,1276.1402980392156,2.2788219607843136
The Club at Millenia,Other Services,27387.159999999996,5448.791832679741,9.72998541549953
The Club at Millenia,Disposal,26024.96,5177.776355555556,9.246029206349206
Mandarina,General Waste Service,34460.72,2997.0980480000003,16.650544711111113
Pavilions at Arrowhead,General Waste Service,42323.46000000001,3845.7496191044784,15.507054915743865
Springs at Alta Mesa,General Waste Service,192171.15,17461.760614925373,87.30880307462687
Tempe Vista,General Waste Service,33738.18,3074.8209556886227,16.53129546069152
