Property,Container Type,Container Size,Quantity,Frequency,Total Yards
Tempe Vista,Dumpster,4 yards,6,3x per week,24
Tempe Vista,Dumpster,6 yards,1,3x per week,6
Tempe Vista,Dumpster,8 yards,1,3x per week,8
Mandarina,Compactor,6 yards,2,3x per week,12
Springs at Alta Mesa,Dumpster,6 yards,5,3x per week,30
Springs at Alta Mesa,Dumpster,4 yards,4,3x per week,16
Springs at Alta Mesa,Cart,90 gallons,7,3x per week,0
Springs at Alta Mesa,Bulk,N/A,1,Weekly (Thursday),0
Pavilions at Arrowhead,Dumpster,4 yards,4,2x per week,16
Pavilions at Arrowhead,Bulk,N/A,1,Weekly (Thursday),0
