Property,Units,Total Spend,Months,Monthly Average,Cost Per Door,Primary Vendor
Bella Mirage,715,67324.17,8.9,7534.3666720588235,10.537575765117236,"Waste Management National Services, Inc."
McCord Park FL,416,99156.68,9.0,11056.151425641026,26.57728708086785,"Community Waste Disposal, LP"
Orion McKinney,453,57292.0,8.0,7176.825020576132,15.842880840123913,FRONTIER WASTE - MCKINNEY
Orion Prosper,312,34478.73,7.0,4950.625194339624,15.86738844339623,Republic Services
Orion Prosper Lakes,308,31168.6,5.9,5241.835270718232,17.018945684150104,Republic Services
The Club at Millenia,560,70061.16,5.0,13938.965427450981,24.891009691876754,WASTE CONNECTIONS OF FLORIDA
Mandarina,180,34460.72,11.5,2997.0980480000003,16.650544711111113,Waste Management - Hauling
Pavilions at Arrowhead,248,42323.46000000001,11.0,3845.7496191044784,15.507054915743865,City of Glendale
Springs at Alta Mesa,200,192171.15,11.0,17461.760614925373,87.30880307462687,City of Mesa
Tempe Vista,186,33738.18,11.0,3074.8209556886227,16.53129546069152,Waste Management - Hauling
