Property,Units,Vendor,Total Spend,Months in Data,Monthly Average,Annual Estimate,Cost Per Door,Invoice Count
Orion Prosper,312,Republic Services,34478.73,7.0,4950.63,59407.5,15.87,16
Orion Prosper Lakes,308,Republic Services,31168.6,5.9,5241.84,62902.02,17.02,10
Orion McKinney,453,FRONTIER WASTE - MCKINNEY,57292.0,8.0,7176.83,86121.9,15.84,14
McCord Park FL,416,"Community Waste Disposal, LP",99156.68,9.0,11056.15,132673.82,26.58,9
The Club at Millenia,560,WASTE CONNECTIONS OF FLORIDA,70061.16,5.0,13938.97,167267.59,24.89,146
Bella Mirage,715,"Waste Management National Services, Inc.",67324.17,8.9,7534.37,90412.4,10.54,10
Mandarina,180,Waste Management - Hauling,34460.72,11.5,2997.1,35965.18,16.65,37
Pavilions at Arrowhead,248,City of Glendale,42323.46,11.0,3845.75,46149.0,15.51,47
Springs at Alta Mesa,200,City of Mesa,192171.15,11.0,17461.76,209541.13,87.31,203
Tempe Vista,186,Waste Management - Hauling,33738.18,11.0,3074.82,36897.85,16.53,23
PORTFOLIO TOTAL,3578,10 Properties,662174.8500000001,8.83,77278.22,927338.3899999999,21.59816098378983,515
